FWA_coords
16.11,72.16
4.46,50.77
50.85,41.79
49.97,7.74
73.32,76.85
1.12,89.53
11.51,35.08
37.67,50.96
98.05,89.13
95.1,73.96
18.43,71.27
52.09,26.49
90.76,27.17
59.85,53.18
13.21,43.0
52.74,83.31
13.48,86.46
21.04,31.46
3.54,52.58
62.68,28.0
BS_coords
63.61,47.6
96.67,36.15
9.77,79.73
11.01,45.69
61.55,4.19
FWA_BS_distance
53.47376553039817,59.23488330367504,14.020474314373248,42.12919652687433,30.819581437780744,75.25373744871413,53.58321005688256,26.156704685414788,53.95233544527984,41.06664948592713,51.00491446909797,24.048752566401443,33.978042910091226,6.728595693010538,50.60948527697155,37.32775107075164,63.428041905769085,45.526964537513365,60.27607568513398,19.62205137084296
88.2419044445438,93.3618149994954,46.165809859678625,54.662767035707226,46.92240935842916,109.44965463627558,85.16672178732723,60.83038796522672,52.99796977243562,37.8425818358103,85.76078357850983,45.614602924940606,10.75027906614521,40.56763858052376,83.74063589440912,64.4508378533592,97.21971096439239,75.77527961017365,94.5681859823905,34.953434738234236
9.874234147517472,29.442786892548064,55.91967453410293,82.45362393491266,63.61522537883521,13.071438329426488,44.68389083327458,40.07646316730058,88.77904257199444,85.52486071312832,12.106494125055367,68.010881482304,96.55016157417865,56.682527290162355,36.890737319820545,43.118874057656,7.68485523611212,49.568193430868554,27.855617027809675,73.99635801848629
26.956834012917763,8.289083182113693,40.03043342258488,54.388271713670036,69.66693405052357,44.9417144755293,10.621774804617164,27.17588085048947,97.2779276095045,88.71482965096646,26.63442884688913,45.34541211633213,81.87217414970729,49.4109876444501,3.475068344651655,56.18413744109632,40.84475241692621,17.409589311640865,10.162332409442234,54.61432962144642
81.7601033512067,73.68150717785298,39.09283821878376,12.11193213323126,73.60712261731197,104.56911829024858,58.80640866436242,52.51368678735097,92.45027636518995,77.4174101865982,79.74371950191437,24.223575293502808,37.16590507440927,49.01948694141953,61.99170670339702,79.60898504565927,95.28419491185304,48.83352332158719,75.54304865439308,23.836799281782778
